cmc_rank,name,price,volume_24h,market_cap,circulating_supply,max_supply
1,Bitcoin,54388.92783392156,55982500788.62702,1016415823468.2438,18687918,21000000
2,Ethereum,2435.3826732675298,40287585295.579384,281448513956.4041,115566443.4365,
3,Binance Coin,558.0142996867252,8415931452.143109,85617750568.36043,153432897,170532785
4,XRP,1.3248436994383,12604763935.964489,60153241272.82012,45404028640,100000000000
5,Tether,1.0001773262843,130828671284.06296,49329674017.75357,49320928120.83168,
6,Dogecoin,0.30424752911148,11457005041.118229,39333026138.68898,129279689644.66719,
7,Cardano,1.22000369378516,4044547095.495658,38977055527.90361,31948309440.7478,45000000000
8,Polkadot,33.90082544368108,2914597066.5188303,31588074213.737526,931778910.9947871,
9,Uniswap,35.79207047300227,1618248376.766651,18733049260.967213,523385459.77935064,1000000000
10,Litecoin,260.65179182694504,7604760591.965633,17399136452.21072,66752414.51538747,84000000
11,Bitcoin Cash,921.6084457198236,6211433597.6308,17247994222.49107,18715100,21000000
12,Chainlink,36.94544293003555,2070180485.0649743,15480493654.388279,419009556.43444455,1000000000
13,VeChain,0.23044046515531,2418534644.7488213,14820911478.077312,64315576989,86712634466
14,Stellar,0.49820055297273,1463236203.7443423,11418947657.899502,22920383347.154854,50001806812
15,USD Coin,0.99991745354702,2410314450.4808125,11306016612.05124,11306949960.664516,
16,THETA,11.1829712684729,420585540.00382817,11182971268.472898,1000000000,1000000000
17,Filecoin,149.66069696506742,1635997552.5641463,10125964035.129858,67659474,2000000000
18,Solana,35.20860435649966,836779563.1112921,9506987186.761583,270018859.32483864,
19,TRON,0.12474512181207,2955142909.0673904,8939192687.56823,71659657369.49,
20,Wrapped Bitcoin,54578.31365679759,223726939.47521704,8423455370.927469,154337.03987075,
21,Neo,98.63755553143385,2119287832.779671,6957777859.884928,70538831,100000000
22,Monero,379.3947526534238,1229217533.1668553,6788259013.808832,17892337.64129018,
23,EOS,6.43435542870945,3271505876.478646,6130249623.378687,952737176.4429,
24,Klaytn,2.41446824129632,76975092.92359737,5931270206.46288,2456553416.2,
25,IOTA,2.09709523871876,260609527.15497524,5828939722.353907,2779530283,2779530283
26,Bitcoin SV,299.7856170297088,1723748502.883205,5609592706.099342,18712014.14423905,21000000
27,Binance USD,1.00003051076527,6941901751.925142,5403055382.354924,5402890536.03,
28,Terra,13.45976335264322,456161303.49057347,5082318966.071651,377593486.07519084,
29,BitTorrent,0.00760192647611,813991336.9246763,5016911332.965794,659952625000,
30,FTX Token,51.6649861007895,179101305.66814804,4874434249.116269,94346957.523749,339228639
31,Crypto.com Coin,0.19206725884585,95904745.2170589,4852197790.007616,25263013692,
32,Aave,359.4933700082626,489191411.21354985,4489429402.338507,12488211.9584996,16000000
33,Maker,4424.046158718893,846249135.0046751,4402982294.086342,995238.77828647,1005577
34,PancakeSwap,27.15055083818751,1374698050.9335265,4262981504.2941923,157012707.76054636,
35,Cosmos,20.03994994737517,710561281.5798146,4222845225.67265,210721345.949557,
36,Tezos,5.4180799378696,413787748.6812581,4157319961.9818144,767305024.9636,
37,Ethereum Classic,33.47966613652343,2527192492.9544168,3894130417.757624,116313299,210700000
38,Huobi Token,20.68559090375972,1193050270.4692736,3684215592.2122874,178105407.25441208,500000000
39,Algorand,1.2522809581175,483808091.44023174,3605657282.784279,2879271827.469538,10000000000
40,Dai,1.00052638338964,554071355.4414728,3600953170.9014373,3599058686.1906867,
41,Avalanche,26.28749139756204,257411893.50631478,3381636312.2215247,128640510.464804,720000000
42,NEM,0.360673835429,191266470.35701367,3246064518.500326,8999999999,8999999999
43,Elrond,183.9227246932868,220216765.9640384,3187679766.668269,17331625.39856947,31415926
44,THORChain,13.40332111658886,138084731.30139223,3110881021.596592,232097775.95691225,
45,Kusama,356.9031035487042,229683721.58378342,3023004283.998679,8470098.05726206,
46,Dash,297.7632280012496,1502736389.2510934,3004245636.1356707,10089377.57795621,18900000
47,Bitcoin BEP2,54378.95466344641,411182970.630485,2968983397.6694922,54598.0226366,
48,Chiliz,0.52896630497002,1554764129.811733,2954993762.5594,5586355378.017659,8888888888
49,Zcash,242.25799548832873,856891772.8840898,2811699289.574056,11606218.75,21000000
50,Compound,533.0521763581917,426257252.7246843,2705665561.8003225,5075798.73378514,10000000
51,Decred,209.8997866033245,29302823.08327487,2696232478.9998493,12845332.15889008,21000000
52,Holo,0.01518633266675,315330611.44285977,2568894369.4806557,169158310031.3066,
53,Stacks,2.27461290115722,42343554.1111668,2539088668.183203,1116272868.623681,1818000000
54,Hedera Hashgraph,0.29628298933743,403226930.3559154,2345726365.7914915,7917182053,50000000000
55,DigiByte,0.16227490674423,610649100.2504724,2310699019.494354,14239410552.466793,21000000000
56,UNUS SED LEO,2.18937099377004,2729953.19087013,2188273884.4205275,999498892.9,
57,Decentraland,1.34002272640909,360840474.20149213,2114675811.9612362,1578089513.1741636,
58,Enjin Coin,2.53378818186915,455334829.27259594,2113974336.7460222,834313756.7192237,1000000000
59,Polygon,0.39266147242945,321035511.0950949,2037280122.6612806,5188388130,10000000000
60,Nexo,3.63035233064061,15880596.11985152,2032997345.092617,560000011,1000000000
61,Zilliqa,0.17927452507868,183562553.3407802,2007408725.7252798,11197400884.728426,21000000000
62,Siacoin,0.0421631671979,491709791.28680253,2005366792.5770762,47562052992,
63,The Graph,1.53736348172858,256656364.8891821,1915042751.7250519,1245666867,10057044431
64,Synthetix,16.22744184320717,152024989.21092534,1863584298.13665,114841533.01197928,212424133
65,Basic Attention Token,1.24279523831894,706758039.2518396,1855265164.0897675,1492816440.6224163,
66,TerraUSD,0.99971026011835,49588644.78241392,1837185703.4576972,1837718163.700954,
67,NEAR Protocol,4.86396512053416,81661869.32717812,1734076977.2959921,356515093,1000000000
68,yearn.finance,46828.66071532737,444205999.8153902,1715565205.324448,36634.94063504,36666
