cmc_rank,name,price,volume_24h,market_cap,circulating_supply,max_supply
1,Bitcoin,56083.89818093344,64666006051.07711,1048058032574.012,18687325,21000000
2,Ethereum,2325.8357281012936,38020036578.469124,268759419811.0769,115553913.1865,
3,Binance Coin,590.9952439890002,9987225300.418983,90678112398.45413,153432897,170532785
4,XRP,1.42897788932008,14766614254.99617,64881353012.61566,45404028640,100000000000
5,Tether,0.99987967206086,160500638434.3483,49053924852.81934,49059828120.83168,
6,Dogecoin,0.31889671093049,26050236234.87656,41222491400.31037,129265966024.01349,
7,Cardano,1.27262815454056,4589051028.626496,40658318084.26962,31948309440.7478,45000000000
8,Polkadot,35.09329482843572,2930063469.764273,32691534204.643295,931560697.4057534,
9,Bitcoin Cash,979.755402657274,7872432457.297543,18335418161.53522,18714281.25,21000000
10,Litecoin,265.8160472415554,9000672138.55116,17743862970.310123,66752414.51538747,84000000
11,Uniswap,32.54119553786652,897547839.7254384,17031588588.356022,523385459.77935064,1000000000
12,Chainlink,38.45704975925638,2856763236.818703,16113871361.403378,419009556.43444455,1000000000
13,VeChain,0.24691347239629,3070306486.6061106,15880382443.524916,64315576989,86712634466
14,Stellar,0.52921453628772,1683537716.208237,12122276923.365818,22906167711.11377,50001806812
15,THETA,12.09789617766994,562207005.8756062,12097896177.669939,1000000000,1000000000
16,USD Coin,0.99997638471291,2144286589.5226357,11306682943.795082,11306949960.664516,
17,Filecoin,157.39821143619514,2007631775.0364063,10617057107.14716,67453480,2000000000
18,TRON,0.13437016179896,4766949237.027042,9628919755.196407,71659657369.49,
19,Solana,32.99957186069996,724533738.4286009,8910506752.034246,270018859.32483864,
20,Wrapped Bitcoin,56185.16027741312,209228619.39741,8643372788.03095,153837.28987075,
21,Neo,106.71543947560035,3905827867.3261213,7527582350.260101,70538831,100000000
22,Monero,409.63838903297534,1921777575.3370273,7329105764.404818,17891647.75719991,
23,EOS,6.73172015272124,3908894329.3102813,6413385221.52516,952711205.461,
24,IOTA,2.17701199523593,356647313.9008471,6051070767.212519,2779530283,2779530283
25,Klaytn,2.45796107665876,79926709.50843851,6037480143.624909,2456296074.4,
26,Bitcoin SV,309.5425086089411,1973128676.5946164,5791889080.357353,18711126.64423905,21000000
27,Binance USD,0.99987567835969,8002785839.821526,5402218839.816145,5402890536.03,
28,BitTorrent,0.00801165598933,1591456417.844738,5287313400.755305,659952625000,
29,Terra,13.97682238219231,458793761.97155285,5286695873.939716,378247339.01429754,
30,Crypto.com Coin,0.19876583298459,110921392.26461095,5021423960.191483,25263013692,
31,FTX Token,52.83767752591221,264969096.67280412,4985074117.190786,94346957.523749,339228639
32,Aave,364.29092168758297,458239810.7016388,4549342244.591715,12488211.9584996,16000000
33,PancakeSwap,27.96195924297989,1117136240.9577565,4390382935.03031,157012707.76054636,
34,Cosmos,20.86771897190824,968001758.6542144,4397172831.186599,210716506.059239,
35,Tezos,5.68110116909241,554696737.7919217,4358526951.065057,767197559.300173,
36,Ethereum Classic,34.83584346388411,3321550143.4637785,4051871876.7319484,116313299,210700000
37,Algorand,1.28924466496892,422930765.065621,3703075135.933814,2872282691.216787,10000000000
38,Dai,0.99929120117047,401499359.4654131,3580275501.6643157,3582814996.740428,
39,Maker,3591.2115539158576,311169040.8345646,3574112999.4874735,995238.77828647,1005577
40,Huobi Token,20.02155645379454,1066369489.7713245,3565947466.0702786,178105407.25441208,500000000
41,Avalanche,27.69440972870469,331735083.907372,3562394476.7226624,128632258.6984157,720000000
42,NEM,0.38226108948906,238208761.0715319,3440349805.019279,8999999999,8999999999
43,THORChain,14.53446401429727,195250175.68038872,3373416772.4441714,232097775.95691225,
44,Dash,323.8824816191094,2133144403.542685,3267298951.811575,10087915.02238138,18900000
45,Kusama,368.2771018658073,339412230.0606129,3119343165.047676,8470098.05726206,
46,Bitcoin BEP2,56152.204639490024,57099437.80269939,3065799340.001872,54598.0226366,
47,Elrond,175.40077143699904,206659336.57902938,3039048279.8636856,17326310.79650217,31415926
48,Chiliz,0.52645560346649,919151422.2416927,2940968091.7125587,5586355378.017659,8888888888
49,Zcash,249.0937480555786,1380131481.4514112,2889387839.9454894,11599600,21000000
50,Holo,0.01685460760913,556991541.3764486,2851096939.4012322,169158310031.3066,
51,Decred,212.12341489407422,67030841.0086704,2724096425.525848,12842035.50506742,21000000
52,Stacks,2.3401497417386,130883181.61237262,2572578934.4238057,1099322358.966877,1818000000
53,Hedera Hashgraph,0.31999953048172,556740231.1290537,2533494566.5782604,7917182137,50000000000
54,Compound,485.40529791133883,455970532.45228124,2463819596.5109725,5075798.73378514,10000000
55,Decentraland,1.44315808173057,774994523.2034153,2277432634.631555,1578089513.1741636,
56,Enjin Coin,2.66251959631346,396685760.12572426,2221376726.738834,834313756.7192237,1000000000
57,Siacoin,0.04636015253194,738264898.2082092,2204793491.214427,47557942992,
58,UNUS SED LEO,2.18679699314073,3376349.03733084,2185701173.641208,999498892.9,
59,Zilliqa,0.19351823027459,275778199.8562428,2166264236.9567914,11194109381.235044,21000000000
60,Nexo,3.60095741642869,14505318.8155372,2016536192.810598,560000011,1000000000
61,The Graph,1.57920028058823,252105154.72093597,1967157465.8858614,1245666867,10057044431
62,Basic Attention Token,1.30845866222178,834182030.482149,1953288602.8394861,1492816440.6224163,
63,Synthetix,16.73062834836749,146363078.13270006,1921371007.7802014,114841533.01197928,212424133
64,DigiByte,0.13405898305256,190285663.77718452,1908546126.3069024,14236614979.830378,21000000000
65,TerraUSD,0.99998859405544,46225927.93566303,1828186762.410424,1828207614.845123,
66,yearn.finance,50034.143927712925,617264878.3392732,1832997892.5168102,36634.94063504,36666
67,Polygon,0.34622281081375,235945339.7390934,1796338321.961296,5188388130,10000000000
68,NEAR Protocol,5.03022934190237,95983720.64989902,1788911748.695383,355632244,1000000000
69,Ontology,2.13112750501394,833225751.9161652,1725804083.4001813,809807991,1000000000
70,Qtum,17.25301835467146,1213404917.867979,1695997320.2701142,98301484.7260568,107822406
71,Bitcoin Gold,96.34401516840978,74539911.05632001,1687361719.916986,17513923.589,21000000
72,Theta Fuel,0.31322227146268,50859560.39937349,1650866297.0373952,5270590400,
73,UMA,27.37902941883811,81524619.9429637,1644895388.9293756,60078659.61083366,101172570
74,SushiSwap,12.82483367121371,475061337.7517468,1631888817.0612338,127244443,250000000
75,Ravencoin,0.18706623605329,178639769.01791763,1608886546.4558275,8600625000,21000000000
76,Celsius,6.20481372663574,7992560.66100214,1482103646.608893,238863519.826,695658160
77,Waves,13.6663267903287,175723616.97371072,1433558348.6169782,104897122,
78,Celo,6.83239705011291,474724971.7918428,1398983637.1120834,204757368,1000000000
79,Horizen,125.29011729545451,352942692.7673667,1377718320.0572093,10996225,21000000
80,ICON,2.26294502743657,150803669.553267,1353774712.1501222,598235792.6227036,
81,0x,1.71527733530014,275142992.3509016,1340570986.2256079,781547659.1667516,1000000000
82,Nano,9.8816874884536,284048875.21788806,1316718031.269342,133248297.197,133248298
83,Bancor,6.7961199117093,129653742.21012466,1210721957.957453,178148998.79436398,
84,Reserve Rights,0.0906005757084,182392136.50401986,1192303485.7219682,13159999000,100000000000
85,Flow,34.22409850913207,120305311.5845475,1162517915.148171,33967817,1344157523
86,Harmony,0.12170193308777,173025950.6456831,1145169249.0071666,9409622509.293127,12600000000
87,IOST,0.06964454782943,660361081.5162126,1140372067.0241024,16374175762,90000000000
88,OMG Network,8.04478360518739,531543001.86318076,1128243880.5054207,140245398.24513277,140245399
89,SwissBorg,1.11733866074639,10845998.17379482,1117338660.74639,1000000000,
90,KuCoin Token,13.84439318511764,92133013.03495663,1109193925.9281073,80118638,170118638
91,Revain,0.01290034716752,5850120.77836241,1097322695.9838934,85061485689.83401,
92,Ankr,0.15615248132766,137187625.66433,1092479097.7879107,6996232711.125,10000000000
93,OKB,17.80488412041469,467581271.975409,1068293047.2248814,60000000,
94,Helium,12.94149987561288,27095686.99996871,1028855526.694743,79500485.76931418,223000000
95,Fantom,0.40247848577158,81985411.84491852,1024310271.0362124,2545006273,3175000000
96,Verge,0.06166604911653,157465148.8917519,1014189280.0239257,16446477349.431252,16555000000
97,Dent,0.00984831243236,207169089.8677235,926075495.8903723,94033927360.73587,
98,Ren,0.9058280972627,123472909.96719097,903258309.1633337,997163051.0169293,1000000000
99,Paxos Standard,0.99906338436955,102702890.52393621,878016402.9922017,878839537.84,
100,BTMX,1.15268725964235,5945924.10652789,863728454.8755242,749317256.394,
